Date,Product,Units_Sold,Revenue
2022-01-01,Product A,48,960
2022-01-01,Product B,38,570
2022-01-01,Product C,24,240
2022-01-02,Product A,17,340
2022-01-02,Product B,30,450
2022-01-02,Product C,48,480
2022-01-03,Product A,28,560
2022-01-03,Product B,32,480
2022-01-03,Product C,20,200
2022-01-04,Product A,20,400
2022-01-04,Product B,33,495
2022-01-04,Product C,45,450
2022-01-05,Product A,49,980
2022-01-05,Product B,33,495
2022-01-05,Product C,12,120
2022-01-06,Product A,31,620
2022-01-06,Product B,11,165
2022-01-06,Product C,33,330
2022-01-07,Product A,39,780
2022-01-07,Product B,47,705
2022-01-07,Product C,11,110
2022-01-08,Product A,30,600
2022-01-08,Product B,42,630
2022-01-08,Product C,21,210
2022-01-09,Product A,31,620
2022-01-09,Product B,34,510
2022-01-09,Product C,36,360
2022-01-10,Product A,37,740
2022-01-10,Product B,25,375
2022-01-10,Product C,24,240
2022-01-11,Product A,12,240
2022-01-11,Product B,46,690
2022-01-11,Product C,16,160
2022-01-12,Product A,30,600
2022-01-12,Product B,18,270
2022-01-12,Product C,48,480
2022-01-13,Product A,27,540
2022-01-13,Product B,13,195
2022-01-13,Product C,34,340
2022-01-14,Product A,23,460
2022-01-14,Product B,18,270
2022-01-14,Product C,35,350
2022-01-15,Product A,11,220
2022-01-15,Product B,29,435
2022-01-15,Product C,37,370
2022-01-16,Product A,16,320
2022-01-16,Product B,17,255
2022-01-16,Product C,44,440
2022-01-17,Product A,23,460
2022-01-17,Product B,26,390
2022-01-17,Product C,45,450
2022-01-18,Product A,49,980
2022-01-18,Product B,13,195
2022-01-18,Product C,11,110
2022-01-19,Product A,15,300
2022-01-19,Product B,13,195
2022-01-19,Product C,38,380
2022-01-20,Product A,27,540
2022-01-20,Product B,35,525
2022-01-20,Product C,43,430
2022-01-21,Product A,19,380
2022-01-21,Product B,45,675
2022-01-21,Product C,23,230
2022-01-22,Product A,40,800
2022-01-22,Product B,24,360
2022-01-22,Product C,17,170
2022-01-23,Product A,23,460
2022-01-23,Product B,32,480
2022-01-23,Product C,49,490
2022-01-24,Product A,30,600
2022-01-24,Product B,25,375
2022-01-24,Product C,27,270
2022-01-25,Product A,33,660
2022-01-25,Product B,35,525
2022-01-25,Product C,34,340
2022-01-26,Product A,38,760
2022-01-26,Product B,24,360
2022-01-26,Product C,10,100
2022-01-27,Product A,34,680
2022-01-27,Product B,16,240
2022-01-27,Product C,18,180
2022-01-28,Product A,33,660
2022-01-28,Product B,10,150
2022-01-28,Product C,17,170
2022-01-29,Product A,33,660
2022-01-29,Product B,20,300
2022-01-29,Product C,26,260
2022-01-30,Product A,17,340
2022-01-30,Product B,44,660
2022-01-30,Product C,44,440
2022-01-31,Product A,42,840
2022-01-31,Product B,14,210
2022-01-31,Product C,48,480
2022-02-01,Product A,37,740
2022-02-01,Product B,16,240
2022-02-01,Product C,18,180
2022-02-02,Product A,17,340
